LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ARTURO E ALAS,GRACE F NAPOLITANO
1ST SUPERVISORIAL,N,196479,POLLING PLACE,12684,3547,7620
1ST SUPERVISORIAL,N,0,VBM PORTION,11043,3220,6898
1ST SUPERVISORIAL,N,196479,TOTAL,23717,6767,14518
4TH SUPERVISORIAL,N,0,POLLING PLACE,0,0,0
4TH SUPERVISORIAL,N,0,VBM PORTION,0,0,0
4TH SUPERVISORIAL,N,0,TOTAL,0,0,0
5TH SUPERVISORIAL,N,124532,POLLING PLACE,11252,5239,4952
5TH SUPERVISORIAL,N,0,VBM PORTION,10467,4453,5169
5TH SUPERVISORIAL,N,124532,TOTAL,21712,9692,10121
