LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,RICARDO A BENITEZ,BOB HERTZBERG,JOHN P LINDBLAD
3RD SUPERVISORIAL,N,370068,POLLING PLACE,27824,7264,16372,2124
3RD SUPERVISORIAL,N,0,VBM PORTION,25692,6211,15364,1772
3RD SUPERVISORIAL,N,370068,TOTAL,53506,13475,31736,3896
5TH SUPERVISORIAL,N,42465,POLLING PLACE,3911,1508,1863,272
5TH SUPERVISORIAL,N,0,VBM PORTION,3641,1306,1739,224
5TH SUPERVISORIAL,N,42465,TOTAL,7547,2814,3602,496
