LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,TOM GRIEGO,STEVEN P SCHREINER,ANDREW M STEIN
23RD US CONGRESSIONAL,N,40752,POLLING PLACE,3565,892,1057,908
23RD US CONGRESSIONAL,N,0,VBM PORTION,4002,1226,1091,736
23RD US CONGRESSIONAL,N,40752,TOTAL,7565,2118,2148,1644
25TH US CONGRESSIONAL,N,295318,POLLING PLACE,24572,5482,6936,6715
25TH US CONGRESSIONAL,N,0,VBM PORTION,28777,7410,8265,6198
25TH US CONGRESSIONAL,N,295318,TOTAL,53342,12892,15201,12913
26TH US CONGRESSIONAL,N,6055,POLLING PLACE,727,149,121,245
26TH US CONGRESSIONAL,N,0,VBM PORTION,770,174,129,211
26TH US CONGRESSIONAL,N,6055,TOTAL,1497,323,250,456
27TH US CONGRESSIONAL,N,350998,POLLING PLACE,31839,7470,7325,9075
27TH US CONGRESSIONAL,N,0,VBM PORTION,34154,8788,8381,7196
27TH US CONGRESSIONAL,N,350998,TOTAL,65981,16258,15706,16271
28TH US CONGRESSIONAL,N,392520,POLLING PLACE,35120,7319,7254,10503
28TH US CONGRESSIONAL,N,0,VBM PORTION,37322,8222,7730,8360
28TH US CONGRESSIONAL,N,392520,TOTAL,72436,15541,14984,18863
29TH US CONGRESSIONAL,N,272793,POLLING PLACE,18181,5234,3900,5054
29TH US CONGRESSIONAL,N,0,VBM PORTION,16529,4981,4030,3783
29TH US CONGRESSIONAL,N,272793,TOTAL,34700,10215,7930,8837
30TH US CONGRESSIONAL,N,398420,POLLING PLACE,36868,6877,7775,13243
30TH US CONGRESSIONAL,N,0,VBM PORTION,38021,7362,8583,11678
30TH US CONGRESSIONAL,N,398420,TOTAL,74877,14239,16358,24921
32ND US CONGRESSIONAL,N,321011,POLLING PLACE,23936,7295,5691,5909
32ND US CONGRESSIONAL,N,0,VBM PORTION,21510,7077,5538,3972
32ND US CONGRESSIONAL,N,321011,TOTAL,45429,14372,11229,9881
33RD US CONGRESSIONAL,N,459294,POLLING PLACE,58934,8987,11861,20014
33RD US CONGRESSIONAL,N,0,VBM PORTION,57307,10097,11810,16697
33RD US CONGRESSIONAL,N,459294,TOTAL,116225,19084,23671,36711
34TH US CONGRESSIONAL,N,256961,POLLING PLACE,20801,6077,3479,5929
34TH US CONGRESSIONAL,N,0,VBM PORTION,16358,4747,3376,3792
34TH US CONGRESSIONAL,N,256961,TOTAL,37152,10824,6855,9721
35TH US CONGRESSIONAL,N,57598,POLLING PLACE,3541,986,899,955
35TH US CONGRESSIONAL,N,0,VBM PORTION,3368,982,925,751
35TH US CONGRESSIONAL,N,57598,TOTAL,6909,1968,1824,1706
37TH US CONGRESSIONAL,N,383577,POLLING PLACE,35923,9277,5669,11726
37TH US CONGRESSIONAL,N,0,VBM PORTION,31241,7318,5554,9115
37TH US CONGRESSIONAL,N,383577,TOTAL,67145,16595,11223,20841
38TH US CONGRESSIONAL,N,348503,POLLING PLACE,26326,7763,6000,7129
38TH US CONGRESSIONAL,N,0,VBM PORTION,24401,7430,5880,5074
38TH US CONGRESSIONAL,N,348503,TOTAL,50711,15193,11880,12203
39TH US CONGRESSIONAL,N,105568,POLLING PLACE,8106,1938,2040,2121
39TH US CONGRESSIONAL,N,0,VBM PORTION,10085,2629,2605,2067
39TH US CONGRESSIONAL,N,105568,TOTAL,18188,4567,4645,4188
40TH US CONGRESSIONAL,N,244754,POLLING PLACE,16447,5547,3118,4176
40TH US CONGRESSIONAL,N,0,VBM PORTION,9697,3328,2199,2141
40TH US CONGRESSIONAL,N,244754,TOTAL,26136,8875,5317,6317
43RD US CONGRESSIONAL,N,342297,POLLING PLACE,30448,9300,6294,8060
43RD US CONGRESSIONAL,N,0,VBM PORTION,25344,7341,6164,5605
43RD US CONGRESSIONAL,N,342297,TOTAL,55768,16641,12458,13665
44TH US CONGRESSIONAL,N,310049,POLLING PLACE,21294,7559,3969,5294
44TH US CONGRESSIONAL,N,0,VBM PORTION,16058,5356,3737,3420
44TH US CONGRESSIONAL,N,310049,TOTAL,37346,12915,7706,8714
47TH US CONGRESSIONAL,N,236939,POLLING PLACE,26748,6052,5244,7850
47TH US CONGRESSIONAL,N,0,VBM PORTION,25917,6419,5864,6459
47TH US CONGRESSIONAL,N,236939,TOTAL,52663,12471,11108,14309
