LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,SAL GENOVESE,ADAM B SCHIFF,STEVE STOKES
28TH US CONGRESSIONAL,N,392520,POLLING PLACE,35120,2433,22423,5455
28TH US CONGRESSIONAL,N,0,VBM PORTION,37322,2210,23581,5623
28TH US CONGRESSIONAL,N,392520,TOTAL,72436,4643,46004,11078
