LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,RICHARD BLOOM,BRADLY S TORGAN
28TH US CONGRESSIONAL,N,69596,POLLING PLACE,5568,4123,767
28TH US CONGRESSIONAL,N,0,VBM PORTION,5272,3727,863
28TH US CONGRESSIONAL,N,69596,TOTAL,10839,7850,1630
33RD US CONGRESSIONAL,N,202168,POLLING PLACE,26836,16121,6037
33RD US CONGRESSIONAL,N,0,VBM PORTION,24451,14115,6651
33RD US CONGRESSIONAL,N,202168,TOTAL,51282,30236,12688
37TH US CONGRESSIONAL,N,33897,POLLING PLACE,3084,2204,488
37TH US CONGRESSIONAL,N,0,VBM PORTION,3023,2032,564
37TH US CONGRESSIONAL,N,33897,TOTAL,6106,4236,1052
