LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,SERENA R MURILLO
23RD US CONGRESSIONAL,N,40752,POLLING PLACE,3565,2502
23RD US CONGRESSIONAL,N,0,VBM PORTION,4002,2659
23RD US CONGRESSIONAL,N,40752,TOTAL,7565,5161
25TH US CONGRESSIONAL,N,295318,POLLING PLACE,24572,16568
25TH US CONGRESSIONAL,N,0,VBM PORTION,28777,18836
25TH US CONGRESSIONAL,N,295318,TOTAL,53342,35404
26TH US CONGRESSIONAL,N,6055,POLLING PLACE,727,411
26TH US CONGRESSIONAL,N,0,VBM PORTION,770,395
26TH US CONGRESSIONAL,N,6055,TOTAL,1497,806
27TH US CONGRESSIONAL,N,350998,POLLING PLACE,31839,19128
27TH US CONGRESSIONAL,N,0,VBM PORTION,34154,19422
27TH US CONGRESSIONAL,N,350998,TOTAL,65981,38550
28TH US CONGRESSIONAL,N,392520,POLLING PLACE,35120,20322
28TH US CONGRESSIONAL,N,0,VBM PORTION,37322,19474
28TH US CONGRESSIONAL,N,392520,TOTAL,72436,39796
29TH US CONGRESSIONAL,N,272793,POLLING PLACE,18181,12304
29TH US CONGRESSIONAL,N,0,VBM PORTION,16529,11062
29TH US CONGRESSIONAL,N,272793,TOTAL,34700,23366
30TH US CONGRESSIONAL,N,398420,POLLING PLACE,36868,22342
30TH US CONGRESSIONAL,N,0,VBM PORTION,38021,21916
30TH US CONGRESSIONAL,N,398420,TOTAL,74877,44258
32ND US CONGRESSIONAL,N,321011,POLLING PLACE,23936,16179
32ND US CONGRESSIONAL,N,0,VBM PORTION,21510,14024
32ND US CONGRESSIONAL,N,321011,TOTAL,45429,30203
33RD US CONGRESSIONAL,N,459294,POLLING PLACE,58934,31646
33RD US CONGRESSIONAL,N,0,VBM PORTION,57307,29502
33RD US CONGRESSIONAL,N,459294,TOTAL,116225,61148
34TH US CONGRESSIONAL,N,256961,POLLING PLACE,20801,13463
34TH US CONGRESSIONAL,N,0,VBM PORTION,16358,10228
34TH US CONGRESSIONAL,N,256961,TOTAL,37152,23691
35TH US CONGRESSIONAL,N,57598,POLLING PLACE,3541,2499
35TH US CONGRESSIONAL,N,0,VBM PORTION,3368,2346
35TH US CONGRESSIONAL,N,57598,TOTAL,6909,4845
37TH US CONGRESSIONAL,N,383577,POLLING PLACE,35923,20265
37TH US CONGRESSIONAL,N,0,VBM PORTION,31241,17434
37TH US CONGRESSIONAL,N,383577,TOTAL,67145,37699
38TH US CONGRESSIONAL,N,348503,POLLING PLACE,26326,17813
38TH US CONGRESSIONAL,N,0,VBM PORTION,24401,15737
38TH US CONGRESSIONAL,N,348503,TOTAL,50711,33550
39TH US CONGRESSIONAL,N,105568,POLLING PLACE,8106,5161
39TH US CONGRESSIONAL,N,0,VBM PORTION,10085,6168
39TH US CONGRESSIONAL,N,105568,TOTAL,18188,11329
40TH US CONGRESSIONAL,N,244754,POLLING PLACE,16447,11213
40TH US CONGRESSIONAL,N,0,VBM PORTION,9697,6734
40TH US CONGRESSIONAL,N,244754,TOTAL,26136,17947
43RD US CONGRESSIONAL,N,342297,POLLING PLACE,30448,18607
43RD US CONGRESSIONAL,N,0,VBM PORTION,25344,15821
43RD US CONGRESSIONAL,N,342297,TOTAL,55768,34428
44TH US CONGRESSIONAL,N,310049,POLLING PLACE,21294,14004
44TH US CONGRESSIONAL,N,0,VBM PORTION,16058,10636
44TH US CONGRESSIONAL,N,310049,TOTAL,37346,24640
47TH US CONGRESSIONAL,N,236939,POLLING PLACE,26748,16376
47TH US CONGRESSIONAL,N,0,VBM PORTION,25917,15881
47TH US CONGRESSIONAL,N,236939,TOTAL,52663,32257
