LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,TERESA P MAGNO,SONGHAI ARMSTEAD
23RD US CONGRESSIONAL,N,40752,POLLING PLACE,3565,1858,998
23RD US CONGRESSIONAL,N,0,VBM PORTION,4002,1626,1457
23RD US CONGRESSIONAL,N,40752,TOTAL,7565,3484,2455
25TH US CONGRESSIONAL,N,295318,POLLING PLACE,24572,11284,7737
25TH US CONGRESSIONAL,N,0,VBM PORTION,28777,11643,10220
25TH US CONGRESSIONAL,N,295318,TOTAL,53342,22927,17957
26TH US CONGRESSIONAL,N,6055,POLLING PLACE,727,224,288
26TH US CONGRESSIONAL,N,0,VBM PORTION,770,268,246
26TH US CONGRESSIONAL,N,6055,TOTAL,1497,492,534
27TH US CONGRESSIONAL,N,350998,POLLING PLACE,31839,12453,11380
27TH US CONGRESSIONAL,N,0,VBM PORTION,34154,11294,13122
27TH US CONGRESSIONAL,N,350998,TOTAL,65981,23747,24502
28TH US CONGRESSIONAL,N,392520,POLLING PLACE,35120,12860,12197
28TH US CONGRESSIONAL,N,0,VBM PORTION,37322,11884,12378
28TH US CONGRESSIONAL,N,392520,TOTAL,72436,24744,24575
29TH US CONGRESSIONAL,N,272793,POLLING PLACE,18181,8150,5915
29TH US CONGRESSIONAL,N,0,VBM PORTION,16529,6955,5781
29TH US CONGRESSIONAL,N,272793,TOTAL,34700,15105,11696
30TH US CONGRESSIONAL,N,398420,POLLING PLACE,36868,14383,13133
30TH US CONGRESSIONAL,N,0,VBM PORTION,38021,13472,13887
30TH US CONGRESSIONAL,N,398420,TOTAL,74877,27855,27020
32ND US CONGRESSIONAL,N,321011,POLLING PLACE,23936,11826,7046
32ND US CONGRESSIONAL,N,0,VBM PORTION,21510,9288,7279
32ND US CONGRESSIONAL,N,321011,TOTAL,45429,21114,14325
33RD US CONGRESSIONAL,N,459294,POLLING PLACE,58934,19127,21455
33RD US CONGRESSIONAL,N,0,VBM PORTION,57307,16983,21351
33RD US CONGRESSIONAL,N,459294,TOTAL,116225,36110,42806
34TH US CONGRESSIONAL,N,256961,POLLING PLACE,20801,8784,6525
34TH US CONGRESSIONAL,N,0,VBM PORTION,16358,6115,5781
34TH US CONGRESSIONAL,N,256961,TOTAL,37152,14899,12306
35TH US CONGRESSIONAL,N,57598,POLLING PLACE,3541,1818,1005
35TH US CONGRESSIONAL,N,0,VBM PORTION,3368,1575,1099
35TH US CONGRESSIONAL,N,57598,TOTAL,6909,3393,2104
37TH US CONGRESSIONAL,N,383577,POLLING PLACE,35923,11310,15488
37TH US CONGRESSIONAL,N,0,VBM PORTION,31241,9807,12221
37TH US CONGRESSIONAL,N,383577,TOTAL,67145,21117,27709
38TH US CONGRESSIONAL,N,348503,POLLING PLACE,26326,13252,7512
38TH US CONGRESSIONAL,N,0,VBM PORTION,24401,10759,7605
38TH US CONGRESSIONAL,N,348503,TOTAL,50711,24011,15117
39TH US CONGRESSIONAL,N,105568,POLLING PLACE,8106,3566,2497
39TH US CONGRESSIONAL,N,0,VBM PORTION,10085,3861,3439
39TH US CONGRESSIONAL,N,105568,TOTAL,18188,7427,5936
40TH US CONGRESSIONAL,N,244754,POLLING PLACE,16447,7903,4801
40TH US CONGRESSIONAL,N,0,VBM PORTION,9697,4397,3235
40TH US CONGRESSIONAL,N,244754,TOTAL,26136,12300,8036
43RD US CONGRESSIONAL,N,342297,POLLING PLACE,30448,11488,12216
43RD US CONGRESSIONAL,N,0,VBM PORTION,25344,9319,9903
43RD US CONGRESSIONAL,N,342297,TOTAL,55768,20807,22119
44TH US CONGRESSIONAL,N,310049,POLLING PLACE,21294,8644,8212
44TH US CONGRESSIONAL,N,0,VBM PORTION,16058,6399,6181
44TH US CONGRESSIONAL,N,310049,TOTAL,37346,15043,14393
47TH US CONGRESSIONAL,N,236939,POLLING PLACE,26748,11111,7997
47TH US CONGRESSIONAL,N,0,VBM PORTION,25917,9975,8862
47TH US CONGRESSIONAL,N,236939,TOTAL,52663,21086,16859
