LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ED ROYCE,PETER O ANDERSON
39TH US CONGRESSIONAL,N,105568,POLLING PLACE,8106,4385,2656
39TH US CONGRESSIONAL,N,0,VBM PORTION,10085,6223,2886
39TH US CONGRESSIONAL,N,105568,TOTAL,18188,10608,5542
