LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,SHANNON L KNIGHT,DEBRA L LOSNICK
23RD US CONGRESSIONAL,N,40752,POLLING PLACE,3565,2256,679
23RD US CONGRESSIONAL,N,0,VBM PORTION,4002,2264,969
23RD US CONGRESSIONAL,N,40752,TOTAL,7565,4520,1648
25TH US CONGRESSIONAL,N,295318,POLLING PLACE,24572,14602,5115
25TH US CONGRESSIONAL,N,0,VBM PORTION,28777,16219,6534
25TH US CONGRESSIONAL,N,295318,TOTAL,53342,30821,11649
26TH US CONGRESSIONAL,N,6055,POLLING PLACE,727,342,201
26TH US CONGRESSIONAL,N,0,VBM PORTION,770,329,214
26TH US CONGRESSIONAL,N,6055,TOTAL,1497,671,415
27TH US CONGRESSIONAL,N,350998,POLLING PLACE,31839,14019,10508
27TH US CONGRESSIONAL,N,0,VBM PORTION,34154,13645,11212
27TH US CONGRESSIONAL,N,350998,TOTAL,65981,27664,21720
28TH US CONGRESSIONAL,N,392520,POLLING PLACE,35120,14204,11783
28TH US CONGRESSIONAL,N,0,VBM PORTION,37322,13793,11420
28TH US CONGRESSIONAL,N,392520,TOTAL,72436,27997,23203
29TH US CONGRESSIONAL,N,272793,POLLING PLACE,18181,8561,5904
29TH US CONGRESSIONAL,N,0,VBM PORTION,16529,7705,5440
29TH US CONGRESSIONAL,N,272793,TOTAL,34700,16266,11344
30TH US CONGRESSIONAL,N,398420,POLLING PLACE,36868,17313,11540
30TH US CONGRESSIONAL,N,0,VBM PORTION,38021,16964,11640
30TH US CONGRESSIONAL,N,398420,TOTAL,74877,34277,23180
32ND US CONGRESSIONAL,N,321011,POLLING PLACE,23936,12684,6528
32ND US CONGRESSIONAL,N,0,VBM PORTION,21510,10224,6622
32ND US CONGRESSIONAL,N,321011,TOTAL,45429,22908,13150
33RD US CONGRESSIONAL,N,459294,POLLING PLACE,58934,23126,19424
33RD US CONGRESSIONAL,N,0,VBM PORTION,57307,21878,17695
33RD US CONGRESSIONAL,N,459294,TOTAL,116225,45004,37119
34TH US CONGRESSIONAL,N,256961,POLLING PLACE,20801,8086,7714
34TH US CONGRESSIONAL,N,0,VBM PORTION,16358,6406,5900
34TH US CONGRESSIONAL,N,256961,TOTAL,37152,14492,13614
35TH US CONGRESSIONAL,N,57598,POLLING PLACE,3541,1848,1024
35TH US CONGRESSIONAL,N,0,VBM PORTION,3368,1680,1031
35TH US CONGRESSIONAL,N,57598,TOTAL,6909,3528,2055
37TH US CONGRESSIONAL,N,383577,POLLING PLACE,35923,16605,11066
37TH US CONGRESSIONAL,N,0,VBM PORTION,31241,12701,10413
37TH US CONGRESSIONAL,N,383577,TOTAL,67145,29306,21479
38TH US CONGRESSIONAL,N,348503,POLLING PLACE,26326,14355,6894
38TH US CONGRESSIONAL,N,0,VBM PORTION,24401,12067,6929
38TH US CONGRESSIONAL,N,348503,TOTAL,50711,26422,13823
39TH US CONGRESSIONAL,N,105568,POLLING PLACE,8106,4182,2054
39TH US CONGRESSIONAL,N,0,VBM PORTION,10085,4774,2746
39TH US CONGRESSIONAL,N,105568,TOTAL,18188,8956,4800
40TH US CONGRESSIONAL,N,244754,POLLING PLACE,16447,8060,4931
40TH US CONGRESSIONAL,N,0,VBM PORTION,9697,4849,2924
40TH US CONGRESSIONAL,N,244754,TOTAL,26136,12909,7855
43RD US CONGRESSIONAL,N,342297,POLLING PLACE,30448,16789,7446
43RD US CONGRESSIONAL,N,0,VBM PORTION,25344,12730,6813
43RD US CONGRESSIONAL,N,342297,TOTAL,55768,29519,14259
44TH US CONGRESSIONAL,N,310049,POLLING PLACE,21294,11689,5514
44TH US CONGRESSIONAL,N,0,VBM PORTION,16058,8146,4590
44TH US CONGRESSIONAL,N,310049,TOTAL,37346,19835,10104
47TH US CONGRESSIONAL,N,236939,POLLING PLACE,26748,12646,7318
47TH US CONGRESSIONAL,N,0,VBM PORTION,25917,11989,7459
47TH US CONGRESSIONAL,N,236939,TOTAL,52663,24635,14777
