LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,DANA CORTEZ
33RD US CONGRESSIONAL,N,36935,POLLING PLACE,6146,3482
33RD US CONGRESSIONAL,N,0,VBM PORTION,5472,3029
33RD US CONGRESSIONAL,N,36935,TOTAL,11617,6511
43RD US CONGRESSIONAL,N,46102,POLLING PLACE,5881,3546
43RD US CONGRESSIONAL,N,0,VBM PORTION,5897,3478
43RD US CONGRESSIONAL,N,46102,TOTAL,11777,7024
