LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,TOM TORLAKSON,MARSHALL TUCK,LYDIA A GUTIERREZ
23RD US CONGRESSIONAL,N,40752,POLLING PLACE,3565,981,1184,979
23RD US CONGRESSIONAL,N,0,VBM PORTION,4002,1046,1463,937
23RD US CONGRESSIONAL,N,40752,TOTAL,7565,2027,2647,1916
25TH US CONGRESSIONAL,N,295318,POLLING PLACE,24572,6893,8103,6409
25TH US CONGRESSIONAL,N,0,VBM PORTION,28777,8141,9471,6558
25TH US CONGRESSIONAL,N,295318,TOTAL,53342,15034,17574,12967
26TH US CONGRESSIONAL,N,6055,POLLING PLACE,727,194,307,96
26TH US CONGRESSIONAL,N,0,VBM PORTION,770,188,308,109
26TH US CONGRESSIONAL,N,6055,TOTAL,1497,382,615,205
27TH US CONGRESSIONAL,N,350998,POLLING PLACE,31839,11481,9937,6042
27TH US CONGRESSIONAL,N,0,VBM PORTION,34154,12053,9819,5928
27TH US CONGRESSIONAL,N,350998,TOTAL,65981,23534,19756,11970
28TH US CONGRESSIONAL,N,392520,POLLING PLACE,35120,12049,9854,7188
28TH US CONGRESSIONAL,N,0,VBM PORTION,37322,12027,9563,6512
28TH US CONGRESSIONAL,N,392520,TOTAL,72436,24076,19417,13700
29TH US CONGRESSIONAL,N,272793,POLLING PLACE,18181,5899,4118,6091
29TH US CONGRESSIONAL,N,0,VBM PORTION,16529,5740,4040,4471
29TH US CONGRESSIONAL,N,272793,TOTAL,34700,11639,8158,10562
30TH US CONGRESSIONAL,N,398420,POLLING PLACE,36868,13287,11313,7313
30TH US CONGRESSIONAL,N,0,VBM PORTION,38021,13676,11030,6739
30TH US CONGRESSIONAL,N,398420,TOTAL,74877,26963,22343,14052
32ND US CONGRESSIONAL,N,321011,POLLING PLACE,23936,7793,6396,7115
32ND US CONGRESSIONAL,N,0,VBM PORTION,21510,7384,5610,5406
32ND US CONGRESSIONAL,N,321011,TOTAL,45429,15177,12006,12521
33RD US CONGRESSIONAL,N,459294,POLLING PLACE,58934,17261,19712,10563
33RD US CONGRESSIONAL,N,0,VBM PORTION,57307,17182,17824,8760
33RD US CONGRESSIONAL,N,459294,TOTAL,116225,34443,37536,19323
34TH US CONGRESSIONAL,N,256961,POLLING PLACE,20801,6689,4201,7109
34TH US CONGRESSIONAL,N,0,VBM PORTION,16358,5785,3241,4328
34TH US CONGRESSIONAL,N,256961,TOTAL,37152,12474,7442,11437
35TH US CONGRESSIONAL,N,57598,POLLING PLACE,3541,1193,742,1237
35TH US CONGRESSIONAL,N,0,VBM PORTION,3368,1302,770,878
35TH US CONGRESSIONAL,N,57598,TOTAL,6909,2495,1512,2115
37TH US CONGRESSIONAL,N,383577,POLLING PLACE,35923,15015,9322,6533
37TH US CONGRESSIONAL,N,0,VBM PORTION,31241,12779,7217,5376
37TH US CONGRESSIONAL,N,383577,TOTAL,67145,27794,16539,11909
38TH US CONGRESSIONAL,N,348503,POLLING PLACE,26326,9117,6177,8137
38TH US CONGRESSIONAL,N,0,VBM PORTION,24401,8841,5718,6282
38TH US CONGRESSIONAL,N,348503,TOTAL,50711,17958,11895,14419
39TH US CONGRESSIONAL,N,105568,POLLING PLACE,8106,2911,2123,1898
39TH US CONGRESSIONAL,N,0,VBM PORTION,10085,3712,2699,1831
39TH US CONGRESSIONAL,N,105568,TOTAL,18188,6623,4822,3729
40TH US CONGRESSIONAL,N,244754,POLLING PLACE,16447,4887,3314,6281
40TH US CONGRESSIONAL,N,0,VBM PORTION,9697,3168,2064,3138
40TH US CONGRESSIONAL,N,244754,TOTAL,26136,8055,5378,9419
43RD US CONGRESSIONAL,N,342297,POLLING PLACE,30448,12170,7970,6518
43RD US CONGRESSIONAL,N,0,VBM PORTION,25344,9635,6299,5331
43RD US CONGRESSIONAL,N,342297,TOTAL,55768,21805,14269,11849
44TH US CONGRESSIONAL,N,310049,POLLING PLACE,21294,8400,4368,6222
44TH US CONGRESSIONAL,N,0,VBM PORTION,16058,6234,3414,4212
44TH US CONGRESSIONAL,N,310049,TOTAL,37346,14634,7782,10434
47TH US CONGRESSIONAL,N,236939,POLLING PLACE,26748,9821,6409,6314
47TH US CONGRESSIONAL,N,0,VBM PORTION,25917,9729,6449,5485
47TH US CONGRESSIONAL,N,236939,TOTAL,52663,19550,12858,11799
