LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ED HERNANDEZ
27TH US CONGRESSIONAL,N,167550,POLLING PLACE,12934,7487
27TH US CONGRESSIONAL,N,0,VBM PORTION,14254,7795
27TH US CONGRESSIONAL,N,167550,TOTAL,27187,15282
32ND US CONGRESSIONAL,N,225229,POLLING PLACE,15191,9865
32ND US CONGRESSIONAL,N,0,VBM PORTION,12825,8494
32ND US CONGRESSIONAL,N,225229,TOTAL,28004,18359
38TH US CONGRESSIONAL,N,9364,POLLING PLACE,557,397
38TH US CONGRESSIONAL,N,0,VBM PORTION,464,337
38TH US CONGRESSIONAL,N,9364,TOTAL,1021,734
39TH US CONGRESSIONAL,N,0,POLLING PLACE,0,0
39TH US CONGRESSIONAL,N,0,VBM PORTION,0,0
39TH US CONGRESSIONAL,N,0,TOTAL,0,0
