LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,TOM BREWER,PAT FUREY,BILL SUTHERLAND
33RD US CONGRESSIONAL,N,36935,POLLING PLACE,6146,2318,2162,1121
33RD US CONGRESSIONAL,N,0,VBM PORTION,5472,1726,1727,1165
33RD US CONGRESSIONAL,N,36935,TOTAL,11617,4044,3889,2286
43RD US CONGRESSIONAL,N,46102,POLLING PLACE,5881,1737,2439,1231
43RD US CONGRESSIONAL,N,0,VBM PORTION,5897,1668,2075,1320
43RD US CONGRESSIONAL,N,46102,TOTAL,11777,3405,4514,2551
