LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,AL MURATSUCHI,DAVID HADLEY
33RD US CONGRESSIONAL,N,172050,POLLING PLACE,22864,9476,10591
33RD US CONGRESSIONAL,N,0,VBM PORTION,24190,9995,11612
33RD US CONGRESSIONAL,N,172050,TOTAL,47048,19471,22203
43RD US CONGRESSIONAL,N,103401,POLLING PLACE,10641,5177,4526
43RD US CONGRESSIONAL,N,0,VBM PORTION,11048,5791,4267
43RD US CONGRESSIONAL,N,103401,TOTAL,21683,10968,8793
