LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,NATHALIE HRIZI,DAVE JONES,TED GAINES
23RD US CONGRESSIONAL,N,40752,POLLING PLACE,3565,160,922,1930
23RD US CONGRESSIONAL,N,0,VBM PORTION,4002,175,1203,2043
23RD US CONGRESSIONAL,N,40752,TOTAL,7565,335,2125,3973
25TH US CONGRESSIONAL,N,295318,POLLING PLACE,24572,1049,8140,11697
25TH US CONGRESSIONAL,N,0,VBM PORTION,28777,1163,10142,13554
25TH US CONGRESSIONAL,N,295318,TOTAL,53342,2212,18282,25251
26TH US CONGRESSIONAL,N,6055,POLLING PLACE,727,18,250,275
26TH US CONGRESSIONAL,N,0,VBM PORTION,770,18,248,313
26TH US CONGRESSIONAL,N,6055,TOTAL,1497,36,498,588
27TH US CONGRESSIONAL,N,350998,POLLING PLACE,31839,1343,14699,8880
27TH US CONGRESSIONAL,N,0,VBM PORTION,34154,1284,15331,10243
27TH US CONGRESSIONAL,N,350998,TOTAL,65981,2627,30030,19123
28TH US CONGRESSIONAL,N,392520,POLLING PLACE,35120,1864,17479,7566
28TH US CONGRESSIONAL,N,0,VBM PORTION,37322,1748,17144,8723
28TH US CONGRESSIONAL,N,392520,TOTAL,72436,3612,34623,16289
29TH US CONGRESSIONAL,N,272793,POLLING PLACE,18181,1447,9540,3491
29TH US CONGRESSIONAL,N,0,VBM PORTION,16529,1109,9106,3578
29TH US CONGRESSIONAL,N,272793,TOTAL,34700,2556,18646,7069
30TH US CONGRESSIONAL,N,398420,POLLING PLACE,36868,1602,17188,9293
30TH US CONGRESSIONAL,N,0,VBM PORTION,38021,1424,18614,10111
30TH US CONGRESSIONAL,N,398420,TOTAL,74877,3026,35802,19404
32ND US CONGRESSIONAL,N,321011,POLLING PLACE,23936,1399,9678,7456
32ND US CONGRESSIONAL,N,0,VBM PORTION,21510,1019,9472,6864
32ND US CONGRESSIONAL,N,321011,TOTAL,45429,2418,19150,14320
33RD US CONGRESSIONAL,N,459294,POLLING PLACE,58934,2889,29251,15970
33RD US CONGRESSIONAL,N,0,VBM PORTION,57307,2024,27079,17781
33RD US CONGRESSIONAL,N,459294,TOTAL,116225,4913,56330,33751
34TH US CONGRESSIONAL,N,256961,POLLING PLACE,20801,1599,11691,2151
34TH US CONGRESSIONAL,N,0,VBM PORTION,16358,1116,9449,2334
34TH US CONGRESSIONAL,N,256961,TOTAL,37152,2715,21140,4485
35TH US CONGRESSIONAL,N,57598,POLLING PLACE,3541,247,1884,729
35TH US CONGRESSIONAL,N,0,VBM PORTION,3368,195,1784,843
35TH US CONGRESSIONAL,N,57598,TOTAL,6909,442,3668,1572
37TH US CONGRESSIONAL,N,383577,POLLING PLACE,35923,1808,19625,3427
37TH US CONGRESSIONAL,N,0,VBM PORTION,31241,1256,17841,3771
37TH US CONGRESSIONAL,N,383577,TOTAL,67145,3064,37466,7198
38TH US CONGRESSIONAL,N,348503,POLLING PLACE,26326,1564,11257,7983
38TH US CONGRESSIONAL,N,0,VBM PORTION,24401,1230,10817,7821
38TH US CONGRESSIONAL,N,348503,TOTAL,50711,2794,22074,15804
39TH US CONGRESSIONAL,N,105568,POLLING PLACE,8106,380,3073,2937
39TH US CONGRESSIONAL,N,0,VBM PORTION,10085,395,3865,3753
39TH US CONGRESSIONAL,N,105568,TOTAL,18188,775,6938,6690
40TH US CONGRESSIONAL,N,244754,POLLING PLACE,16447,1317,8241,2842
40TH US CONGRESSIONAL,N,0,VBM PORTION,9697,628,5180,1979
40TH US CONGRESSIONAL,N,244754,TOTAL,26136,1945,13421,4821
43RD US CONGRESSIONAL,N,342297,POLLING PLACE,30448,1294,14085,6174
43RD US CONGRESSIONAL,N,0,VBM PORTION,25344,1027,12564,5660
43RD US CONGRESSIONAL,N,342297,TOTAL,55768,2321,26649,11834
44TH US CONGRESSIONAL,N,310049,POLLING PLACE,21294,1418,11661,2717
44TH US CONGRESSIONAL,N,0,VBM PORTION,16058,939,9055,2681
44TH US CONGRESSIONAL,N,310049,TOTAL,37346,2357,20716,5398
47TH US CONGRESSIONAL,N,236939,POLLING PLACE,26748,1782,12468,6719
47TH US CONGRESSIONAL,N,0,VBM PORTION,25917,1266,12082,7687
47TH US CONGRESSIONAL,N,236939,TOTAL,52663,3048,24550,14406
