LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,BENJAMIN CAMPOS,LINDA T SANCHEZ
38TH US CONGRESSIONAL,N,348503,POLLING PLACE,26326,9465,13509
38TH US CONGRESSIONAL,N,0,VBM PORTION,24401,9448,12826
38TH US CONGRESSIONAL,N,348503,TOTAL,50711,18913,26335
