LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,JOSE SOLORIO,JANET NGUYEN,LONG PHAM
47TH US CONGRESSIONAL,N,43970,POLLING PLACE,7336,2923,2850,699
47TH US CONGRESSIONAL,N,0,VBM PORTION,7698,2621,3543,714
47TH US CONGRESSIONAL,N,43970,TOTAL,15033,5544,6393,1413
