LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,REBECCA POIRIER,JAY SCHARFMAN,GINA SEMANA
33RD US CONGRESSIONAL,N,36935,POLLING PLACE,6146,2707,685,870
33RD US CONGRESSIONAL,N,0,VBM PORTION,5472,2597,542,564
33RD US CONGRESSIONAL,N,36935,TOTAL,11617,5304,1227,1434
43RD US CONGRESSIONAL,N,46102,POLLING PLACE,5881,2650,765,895
43RD US CONGRESSIONAL,N,0,VBM PORTION,5897,2878,581,690
43RD US CONGRESSIONAL,N,46102,TOTAL,11777,5528,1346,1585
