LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,YES,NO
23RD US CONGRESSIONAL,N,40752,POLLING PLACE,3565,2015,1227
23RD US CONGRESSIONAL,N,0,VBM PORTION,4002,2080,1348
23RD US CONGRESSIONAL,N,40752,TOTAL,7565,4095,2575
25TH US CONGRESSIONAL,N,295318,POLLING PLACE,24572,13336,8821
25TH US CONGRESSIONAL,N,0,VBM PORTION,28777,14386,9974
25TH US CONGRESSIONAL,N,295318,TOTAL,53342,27722,18795
26TH US CONGRESSIONAL,N,6055,POLLING PLACE,727,445,189
26TH US CONGRESSIONAL,N,0,VBM PORTION,770,373,249
26TH US CONGRESSIONAL,N,6055,TOTAL,1497,818,438
27TH US CONGRESSIONAL,N,350998,POLLING PLACE,31839,18929,9295
27TH US CONGRESSIONAL,N,0,VBM PORTION,34154,18029,10257
27TH US CONGRESSIONAL,N,350998,TOTAL,65981,36958,19552
28TH US CONGRESSIONAL,N,392520,POLLING PLACE,35120,21434,8599
28TH US CONGRESSIONAL,N,0,VBM PORTION,37322,19017,9011
28TH US CONGRESSIONAL,N,392520,TOTAL,72436,40451,17610
29TH US CONGRESSIONAL,N,272793,POLLING PLACE,18181,10951,5080
29TH US CONGRESSIONAL,N,0,VBM PORTION,16529,9227,4731
29TH US CONGRESSIONAL,N,272793,TOTAL,34700,20178,9811
30TH US CONGRESSIONAL,N,398420,POLLING PLACE,36868,22552,10158
30TH US CONGRESSIONAL,N,0,VBM PORTION,38021,20763,10398
30TH US CONGRESSIONAL,N,398420,TOTAL,74877,43315,20556
32ND US CONGRESSIONAL,N,321011,POLLING PLACE,23936,13494,7708
32ND US CONGRESSIONAL,N,0,VBM PORTION,21510,11074,7027
32ND US CONGRESSIONAL,N,321011,TOTAL,45429,24568,14735
33RD US CONGRESSIONAL,N,459294,POLLING PLACE,58934,35803,14373
33RD US CONGRESSIONAL,N,0,VBM PORTION,57307,31453,15179
33RD US CONGRESSIONAL,N,459294,TOTAL,116225,67256,29552
34TH US CONGRESSIONAL,N,256961,POLLING PLACE,20801,12828,4772
34TH US CONGRESSIONAL,N,0,VBM PORTION,16358,8883,4251
34TH US CONGRESSIONAL,N,256961,TOTAL,37152,21711,9023
35TH US CONGRESSIONAL,N,57598,POLLING PLACE,3541,1995,1114
35TH US CONGRESSIONAL,N,0,VBM PORTION,3368,1771,1070
35TH US CONGRESSIONAL,N,57598,TOTAL,6909,3766,2184
37TH US CONGRESSIONAL,N,383577,POLLING PLACE,35923,23510,6630
37TH US CONGRESSIONAL,N,0,VBM PORTION,31241,17786,6398
37TH US CONGRESSIONAL,N,383577,TOTAL,67145,41296,13028
38TH US CONGRESSIONAL,N,348503,POLLING PLACE,26326,15196,8063
38TH US CONGRESSIONAL,N,0,VBM PORTION,24401,12496,7627
38TH US CONGRESSIONAL,N,348503,TOTAL,50711,27692,15690
39TH US CONGRESSIONAL,N,105568,POLLING PLACE,8106,4492,2626
39TH US CONGRESSIONAL,N,0,VBM PORTION,10085,5057,3327
39TH US CONGRESSIONAL,N,105568,TOTAL,18188,9549,5953
40TH US CONGRESSIONAL,N,244754,POLLING PLACE,16447,9217,4662
40TH US CONGRESSIONAL,N,0,VBM PORTION,9697,4901,3092
40TH US CONGRESSIONAL,N,244754,TOTAL,26136,14118,7754
43RD US CONGRESSIONAL,N,342297,POLLING PLACE,30448,19108,7122
43RD US CONGRESSIONAL,N,0,VBM PORTION,25344,13663,6909
43RD US CONGRESSIONAL,N,342297,TOTAL,55768,32771,14031
44TH US CONGRESSIONAL,N,310049,POLLING PLACE,21294,13567,4967
44TH US CONGRESSIONAL,N,0,VBM PORTION,16058,9087,4365
44TH US CONGRESSIONAL,N,310049,TOTAL,37346,22654,9332
47TH US CONGRESSIONAL,N,236939,POLLING PLACE,26748,15237,7919
47TH US CONGRESSIONAL,N,0,VBM PORTION,25917,13777,8286
47TH US CONGRESSIONAL,N,236939,TOTAL,52663,29014,16205
