LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,MARK S REED,PABLO KLEINMAN,MICHAEL W POWELSON,BRAD SHERMAN,MARC LITCHMAN
30TH US CONGRESSIONAL,N,398420,POLLING PLACE,36868,7289,3954,1206,19962,2079
30TH US CONGRESSIONAL,N,0,VBM PORTION,38021,6748,4805,1144,20731,2160
30TH US CONGRESSIONAL,N,398420,TOTAL,74877,14037,8759,2350,40693,4239
