LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,L ROYBAL-ALLARD,DAVID SANCHEZ
40TH US CONGRESSIONAL,N,244754,POLLING PLACE,16447,8313,4386
40TH US CONGRESSIONAL,N,0,VBM PORTION,9697,5432,2582
40TH US CONGRESSIONAL,N,244754,TOTAL,26136,13745,6968
