LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,HELEN KIM,ALISON M ESTRADA
23RD US CONGRESSIONAL,N,40752,POLLING PLACE,3565,1553,1396
23RD US CONGRESSIONAL,N,0,VBM PORTION,4002,1432,1687
23RD US CONGRESSIONAL,N,40752,TOTAL,7565,2985,3083
25TH US CONGRESSIONAL,N,295318,POLLING PLACE,24572,9902,9778
25TH US CONGRESSIONAL,N,0,VBM PORTION,28777,10748,11894
25TH US CONGRESSIONAL,N,295318,TOTAL,53342,20650,21672
26TH US CONGRESSIONAL,N,6055,POLLING PLACE,727,242,293
26TH US CONGRESSIONAL,N,0,VBM PORTION,770,246,295
26TH US CONGRESSIONAL,N,6055,TOTAL,1497,488,588
27TH US CONGRESSIONAL,N,350998,POLLING PLACE,31839,9725,15378
27TH US CONGRESSIONAL,N,0,VBM PORTION,34154,9771,16199
27TH US CONGRESSIONAL,N,350998,TOTAL,65981,19496,31577
28TH US CONGRESSIONAL,N,392520,POLLING PLACE,35120,10741,15527
28TH US CONGRESSIONAL,N,0,VBM PORTION,37322,10528,15127
28TH US CONGRESSIONAL,N,392520,TOTAL,72436,21269,30654
29TH US CONGRESSIONAL,N,272793,POLLING PLACE,18181,6081,8643
29TH US CONGRESSIONAL,N,0,VBM PORTION,16529,5595,7637
29TH US CONGRESSIONAL,N,272793,TOTAL,34700,11676,16280
30TH US CONGRESSIONAL,N,398420,POLLING PLACE,36868,13862,14872
30TH US CONGRESSIONAL,N,0,VBM PORTION,38021,13704,14917
30TH US CONGRESSIONAL,N,398420,TOTAL,74877,27566,29789
32ND US CONGRESSIONAL,N,321011,POLLING PLACE,23936,8283,11280
32ND US CONGRESSIONAL,N,0,VBM PORTION,21510,6872,10372
32ND US CONGRESSIONAL,N,321011,TOTAL,45429,15155,21652
33RD US CONGRESSIONAL,N,459294,POLLING PLACE,58934,18059,24915
33RD US CONGRESSIONAL,N,0,VBM PORTION,57307,16710,24015
33RD US CONGRESSIONAL,N,459294,TOTAL,116225,34769,48930
34TH US CONGRESSIONAL,N,256961,POLLING PLACE,20801,6937,9837
34TH US CONGRESSIONAL,N,0,VBM PORTION,16358,6065,7304
34TH US CONGRESSIONAL,N,256961,TOTAL,37152,13002,17141
35TH US CONGRESSIONAL,N,57598,POLLING PLACE,3541,1297,1632
35TH US CONGRESSIONAL,N,0,VBM PORTION,3368,1258,1493
35TH US CONGRESSIONAL,N,57598,TOTAL,6909,2555,3125
37TH US CONGRESSIONAL,N,383577,POLLING PLACE,35923,11874,16191
37TH US CONGRESSIONAL,N,0,VBM PORTION,31241,10296,13164
37TH US CONGRESSIONAL,N,383577,TOTAL,67145,22170,29355
38TH US CONGRESSIONAL,N,348503,POLLING PLACE,26326,9740,11961
38TH US CONGRESSIONAL,N,0,VBM PORTION,24401,8620,10785
38TH US CONGRESSIONAL,N,348503,TOTAL,50711,18360,22746
39TH US CONGRESSIONAL,N,105568,POLLING PLACE,8106,2958,3451
39TH US CONGRESSIONAL,N,0,VBM PORTION,10085,3803,4092
39TH US CONGRESSIONAL,N,105568,TOTAL,18188,6761,7543
40TH US CONGRESSIONAL,N,244754,POLLING PLACE,16447,5610,7759
40TH US CONGRESSIONAL,N,0,VBM PORTION,9697,3079,4822
40TH US CONGRESSIONAL,N,244754,TOTAL,26136,8689,12581
43RD US CONGRESSIONAL,N,342297,POLLING PLACE,30448,10251,14463
43RD US CONGRESSIONAL,N,0,VBM PORTION,25344,8575,11610
43RD US CONGRESSIONAL,N,342297,TOTAL,55768,18826,26073
44TH US CONGRESSIONAL,N,310049,POLLING PLACE,21294,6908,10652
44TH US CONGRESSIONAL,N,0,VBM PORTION,16058,5262,7729
44TH US CONGRESSIONAL,N,310049,TOTAL,37346,12170,18381
47TH US CONGRESSIONAL,N,236939,POLLING PLACE,26748,9430,10557
47TH US CONGRESSIONAL,N,0,VBM PORTION,25917,8472,10973
47TH US CONGRESSIONAL,N,236939,TOTAL,52663,17902,21530
