LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,IAN C CALDERON,RITA TOPALIAN
32ND US CONGRESSIONAL,N,29006,POLLING PLACE,1749,1065,458
32ND US CONGRESSIONAL,N,0,VBM PORTION,1386,761,447
32ND US CONGRESSIONAL,N,29006,TOTAL,3133,1826,905
38TH US CONGRESSIONAL,N,168989,POLLING PLACE,13085,5714,6251
38TH US CONGRESSIONAL,N,0,VBM PORTION,11689,4774,5479
38TH US CONGRESSIONAL,N,168989,TOTAL,24767,10488,11730
39TH US CONGRESSIONAL,N,33926,POLLING PLACE,2837,1121,1466
39TH US CONGRESSIONAL,N,0,VBM PORTION,3342,1109,1758
39TH US CONGRESSIONAL,N,33926,TOTAL,6178,2230,3224
