LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,XAVIER BECERRA,HOWARD JOHNSON,ADRIENNE N EDWARDS
34TH US CONGRESSIONAL,N,256961,POLLING PLACE,20801,13160,1741,2297
34TH US CONGRESSIONAL,N,0,VBM PORTION,16358,9718,1846,2177
34TH US CONGRESSIONAL,N,256961,TOTAL,37152,22878,3587,4474
