LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,CHRIS J FRISCO
23RD US CONGRESSIONAL,N,40752,POLLING PLACE,3565,2444
23RD US CONGRESSIONAL,N,0,VBM PORTION,4002,2654
23RD US CONGRESSIONAL,N,40752,TOTAL,7565,5098
25TH US CONGRESSIONAL,N,295318,POLLING PLACE,24572,16316
25TH US CONGRESSIONAL,N,0,VBM PORTION,28777,18803
25TH US CONGRESSIONAL,N,295318,TOTAL,53342,35119
26TH US CONGRESSIONAL,N,6055,POLLING PLACE,727,404
26TH US CONGRESSIONAL,N,0,VBM PORTION,770,411
26TH US CONGRESSIONAL,N,6055,TOTAL,1497,815
27TH US CONGRESSIONAL,N,350998,POLLING PLACE,31839,19087
27TH US CONGRESSIONAL,N,0,VBM PORTION,34154,19080
27TH US CONGRESSIONAL,N,350998,TOTAL,65981,38167
28TH US CONGRESSIONAL,N,392520,POLLING PLACE,35120,20035
28TH US CONGRESSIONAL,N,0,VBM PORTION,37322,19235
28TH US CONGRESSIONAL,N,392520,TOTAL,72436,39270
29TH US CONGRESSIONAL,N,272793,POLLING PLACE,18181,11766
29TH US CONGRESSIONAL,N,0,VBM PORTION,16529,10828
29TH US CONGRESSIONAL,N,272793,TOTAL,34700,22594
30TH US CONGRESSIONAL,N,398420,POLLING PLACE,36868,22238
30TH US CONGRESSIONAL,N,0,VBM PORTION,38021,22009
30TH US CONGRESSIONAL,N,398420,TOTAL,74877,44247
32ND US CONGRESSIONAL,N,321011,POLLING PLACE,23936,15734
32ND US CONGRESSIONAL,N,0,VBM PORTION,21510,13789
32ND US CONGRESSIONAL,N,321011,TOTAL,45429,29523
33RD US CONGRESSIONAL,N,459294,POLLING PLACE,58934,31867
33RD US CONGRESSIONAL,N,0,VBM PORTION,57307,29464
33RD US CONGRESSIONAL,N,459294,TOTAL,116225,61331
34TH US CONGRESSIONAL,N,256961,POLLING PLACE,20801,12794
34TH US CONGRESSIONAL,N,0,VBM PORTION,16358,10137
34TH US CONGRESSIONAL,N,256961,TOTAL,37152,22931
35TH US CONGRESSIONAL,N,57598,POLLING PLACE,3541,2408
35TH US CONGRESSIONAL,N,0,VBM PORTION,3368,2261
35TH US CONGRESSIONAL,N,57598,TOTAL,6909,4669
37TH US CONGRESSIONAL,N,383577,POLLING PLACE,35923,20188
37TH US CONGRESSIONAL,N,0,VBM PORTION,31241,17326
37TH US CONGRESSIONAL,N,383577,TOTAL,67145,37514
38TH US CONGRESSIONAL,N,348503,POLLING PLACE,26326,17547
38TH US CONGRESSIONAL,N,0,VBM PORTION,24401,15777
38TH US CONGRESSIONAL,N,348503,TOTAL,50711,33324
39TH US CONGRESSIONAL,N,105568,POLLING PLACE,8106,5145
39TH US CONGRESSIONAL,N,0,VBM PORTION,10085,6131
39TH US CONGRESSIONAL,N,105568,TOTAL,18188,11276
40TH US CONGRESSIONAL,N,244754,POLLING PLACE,16447,10934
40TH US CONGRESSIONAL,N,0,VBM PORTION,9697,6658
40TH US CONGRESSIONAL,N,244754,TOTAL,26136,17592
43RD US CONGRESSIONAL,N,342297,POLLING PLACE,30448,18906
43RD US CONGRESSIONAL,N,0,VBM PORTION,25344,15582
43RD US CONGRESSIONAL,N,342297,TOTAL,55768,34488
44TH US CONGRESSIONAL,N,310049,POLLING PLACE,21294,13975
44TH US CONGRESSIONAL,N,0,VBM PORTION,16058,10565
44TH US CONGRESSIONAL,N,310049,TOTAL,37346,24540
47TH US CONGRESSIONAL,N,236939,POLLING PLACE,26748,16159
47TH US CONGRESSIONAL,N,0,VBM PORTION,25917,15880
47TH US CONGRESSIONAL,N,236939,TOTAL,52663,32039
