LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ALFONSO SANCHEZ,CONNIE M LEYVA,MATTHEW MUNSON,SHANNON O'BRIEN,SYLVIA ROBLES
27TH US CONGRESSIONAL,N,254,POLLING PLACE,0,0,0,0,0,0
27TH US CONGRESSIONAL,N,0,VBM PORTION,57,8,11,24,0,5
27TH US CONGRESSIONAL,N,254,TOTAL,57,8,11,24,0,5
35TH US CONGRESSIONAL,N,57598,POLLING PLACE,3541,840,1108,806,277,277
35TH US CONGRESSIONAL,N,0,VBM PORTION,3368,757,842,858,336,256
35TH US CONGRESSIONAL,N,57598,TOTAL,6909,1597,1950,1664,613,533
