LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,YES,NO
47TH US CONGRESSIONAL,N,6232,POLLING PLACE,779,261,488
47TH US CONGRESSIONAL,N,0,VBM PORTION,730,229,447
47TH US CONGRESSIONAL,N,6232,TOTAL,1509,490,935
