LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,PATRICK O'DONNELL,JOHN C GOYA,SUJA LOWENTHAL
33RD US CONGRESSIONAL,N,7537,POLLING PLACE,869,364,262,150
33RD US CONGRESSIONAL,N,0,VBM PORTION,925,313,306,177
33RD US CONGRESSIONAL,N,7537,TOTAL,1794,677,568,327
44TH US CONGRESSIONAL,N,36376,POLLING PLACE,3212,1339,923,676
44TH US CONGRESSIONAL,N,0,VBM PORTION,3629,1332,1190,776
44TH US CONGRESSIONAL,N,36376,TOTAL,6838,2671,2113,1452
47TH US CONGRESSIONAL,N,219272,POLLING PLACE,25073,9783,6935,6767
47TH US CONGRESSIONAL,N,0,VBM PORTION,24350,8818,7751,6151
47TH US CONGRESSIONAL,N,219272,TOTAL,49422,18601,14686,12918
