LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,STACY WIESE,STEVEN KLAIF
23RD US CONGRESSIONAL,N,40752,POLLING PLACE,3565,2338,508
23RD US CONGRESSIONAL,N,0,VBM PORTION,4002,2663,432
23RD US CONGRESSIONAL,N,40752,TOTAL,7565,5001,940
25TH US CONGRESSIONAL,N,295318,POLLING PLACE,24572,15483,3575
25TH US CONGRESSIONAL,N,0,VBM PORTION,28777,18217,3790
25TH US CONGRESSIONAL,N,295318,TOTAL,53342,33700,7365
26TH US CONGRESSIONAL,N,6055,POLLING PLACE,727,417,106
26TH US CONGRESSIONAL,N,0,VBM PORTION,770,418,101
26TH US CONGRESSIONAL,N,6055,TOTAL,1497,835,207
27TH US CONGRESSIONAL,N,350998,POLLING PLACE,31839,17995,5786
27TH US CONGRESSIONAL,N,0,VBM PORTION,34154,18707,5737
27TH US CONGRESSIONAL,N,350998,TOTAL,65981,36702,11523
28TH US CONGRESSIONAL,N,392520,POLLING PLACE,35120,18595,6351
28TH US CONGRESSIONAL,N,0,VBM PORTION,37322,18496,5670
28TH US CONGRESSIONAL,N,392520,TOTAL,72436,37091,12021
29TH US CONGRESSIONAL,N,272793,POLLING PLACE,18181,10328,3715
29TH US CONGRESSIONAL,N,0,VBM PORTION,16529,9709,3021
29TH US CONGRESSIONAL,N,272793,TOTAL,34700,20037,6736
30TH US CONGRESSIONAL,N,398420,POLLING PLACE,36868,21341,6353
30TH US CONGRESSIONAL,N,0,VBM PORTION,38021,21405,5969
30TH US CONGRESSIONAL,N,398420,TOTAL,74877,42746,12322
32ND US CONGRESSIONAL,N,321011,POLLING PLACE,23936,14946,3907
32ND US CONGRESSIONAL,N,0,VBM PORTION,21510,13141,3451
32ND US CONGRESSIONAL,N,321011,TOTAL,45429,28087,7358
33RD US CONGRESSIONAL,N,459294,POLLING PLACE,58934,30722,9811
33RD US CONGRESSIONAL,N,0,VBM PORTION,57307,30089,8425
33RD US CONGRESSIONAL,N,459294,TOTAL,116225,60811,18236
34TH US CONGRESSIONAL,N,256961,POLLING PLACE,20801,10421,4793
34TH US CONGRESSIONAL,N,0,VBM PORTION,16358,8516,3333
34TH US CONGRESSIONAL,N,256961,TOTAL,37152,18937,8126
35TH US CONGRESSIONAL,N,57598,POLLING PLACE,3541,2085,720
35TH US CONGRESSIONAL,N,0,VBM PORTION,3368,2094,572
35TH US CONGRESSIONAL,N,57598,TOTAL,6909,4179,1292
37TH US CONGRESSIONAL,N,383577,POLLING PLACE,35923,20047,6488
37TH US CONGRESSIONAL,N,0,VBM PORTION,31241,16352,5421
37TH US CONGRESSIONAL,N,383577,TOTAL,67145,36399,11909
38TH US CONGRESSIONAL,N,348503,POLLING PLACE,26326,16050,4506
38TH US CONGRESSIONAL,N,0,VBM PORTION,24401,14422,3807
38TH US CONGRESSIONAL,N,348503,TOTAL,50711,30472,8313
39TH US CONGRESSIONAL,N,105568,POLLING PLACE,8106,4732,1298
39TH US CONGRESSIONAL,N,0,VBM PORTION,10085,5751,1517
39TH US CONGRESSIONAL,N,105568,TOTAL,18188,10483,2815
40TH US CONGRESSIONAL,N,244754,POLLING PLACE,16447,9239,3382
40TH US CONGRESSIONAL,N,0,VBM PORTION,9697,5835,1751
40TH US CONGRESSIONAL,N,244754,TOTAL,26136,15074,5133
43RD US CONGRESSIONAL,N,342297,POLLING PLACE,30448,18695,4734
43RD US CONGRESSIONAL,N,0,VBM PORTION,25344,15119,3941
43RD US CONGRESSIONAL,N,342297,TOTAL,55768,33814,8675
44TH US CONGRESSIONAL,N,310049,POLLING PLACE,21294,12888,3796
44TH US CONGRESSIONAL,N,0,VBM PORTION,16058,9638,2801
44TH US CONGRESSIONAL,N,310049,TOTAL,37346,22526,6597
47TH US CONGRESSIONAL,N,236939,POLLING PLACE,26748,14234,4691
47TH US CONGRESSIONAL,N,0,VBM PORTION,25917,14510,4211
47TH US CONGRESSIONAL,N,236939,TOTAL,52663,28744,8902
