LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,CRISTINA GARCIA
38TH US CONGRESSIONAL,N,133344,POLLING PLACE,9357,5846
38TH US CONGRESSIONAL,N,0,VBM PORTION,8962,5683
38TH US CONGRESSIONAL,N,133344,TOTAL,18313,11529
40TH US CONGRESSIONAL,N,90042,POLLING PLACE,7802,4805
40TH US CONGRESSIONAL,N,0,VBM PORTION,4911,3058
40TH US CONGRESSIONAL,N,90042,TOTAL,12710,7863
