LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ED CHAU,ESTHELA T SIEGRIST
27TH US CONGRESSIONAL,N,172731,POLLING PLACE,13468,7231,5058
27TH US CONGRESSIONAL,N,0,VBM PORTION,15076,7922,5178
27TH US CONGRESSIONAL,N,172731,TOTAL,28543,15153,10236
32ND US CONGRESSIONAL,N,25877,POLLING PLACE,1709,969,615
32ND US CONGRESSIONAL,N,0,VBM PORTION,1541,881,523
32ND US CONGRESSIONAL,N,25877,TOTAL,3245,1850,1138
38TH US CONGRESSIONAL,N,5018,POLLING PLACE,383,241,101
38TH US CONGRESSIONAL,N,0,VBM PORTION,449,296,101
38TH US CONGRESSIONAL,N,5018,TOTAL,832,537,202
